Dataglove Experiment Tue Sep 25 17:00:17 2018
USB0 DG5U_Right RightHand	1

event	var	l_thumb	l_index	l_middle	l_ring	l_little	r_thumb	r_index	r_middle	r_ring	r_little	time
glove	1	0	0	0	0	0	3664	3919	4066	3742	3714	600
glove	1	0	0	0	0	0	3664	3919	4066	3742	3714	620
glove	1	0	0	0	0	0	3664	3919	4066	3743	3714	640
glove	1	0	0	0	0	0	3664	3919	4066	3742	3714	660
glove	1	0	0	0	0	0	3664	3919	4066	3743	3714	680
glove	1	0	0	0	0	0	3664	3919	4066	3742	3714	700
glove	1	0	0	0	0	0	3664	3919	4066	3743	3714	720
glove	1	0	0	0	0	0	3664	3919	4066	3743	3714	741
glove	1	0	0	0	0	0	3664	3919	4066	3743	3714	760
glove	1	0	0	0	0	0	3664	3919	4066	3743	3714	780
